Filename,Index,Lat,Lon,Alt,Roll,Pitch,Yaw
IMG_0027_02-56-59_708271.jpg,27,0.0,0.0,2.299999952316284,40.32999801635742,18.31999969482422,11.9399995803833
IMG_0028_02-57-00_858479.jpg,28,0.0,0.0,2.299999952316284,40.32999801635742,18.309999465942383,11.960000038146973
IMG_0029_02-57-01_947922.jpg,29,0.0,0.0,2.3299999237060547,40.32999801635742,18.309999465942383,11.979999542236328
IMG_0030_02-57-02_907724.jpg,30,0.0,0.0,2.319999933242798,40.32999801635742,18.309999465942383,11.989999771118164
IMG_0031_02-57-03_322352.jpg,31,0.0,0.0,2.319999933242798,40.32999801635742,18.309999465942383,12.0
IMG_0032_02-57-05_337365.jpg,32,0.0,0.0,2.3399999141693115,40.32999801635742,18.309999465942383,12.029999732971191
IMG_0033_02-57-07_347045.jpg,33,0.0,0.0,2.319999933242798,40.31999969482422,18.309999465942383,12.059999465942383
IMG_0034_02-57-09_363866.jpg,34,0.0,0.0,2.359999895095825,40.31999969482422,18.309999465942383,12.09000015258789
IMG_0035_02-57-09_746340.jpg,35,0.0,0.0,2.369999885559082,40.32999801635742,18.309999465942383,12.09999942779541
IMG_0036_02-57-10_001569.jpg,36,0.0,0.0,2.3299999237060547,40.31999969482422,18.31999969482422,12.09999942779541
IMG_0037_02-57-14_190813.jpg,37,0.0,0.0,2.3899998664855957,40.32999801635742,18.309999465942383,12.170000076293945
IMG_0038_02-57-16_425680.jpg,38,0.0,0.0,2.3999998569488525,40.32999801635742,18.31999969482422,12.210000038146973
IMG_0039_02-57-19_081388.jpg,39,0.0,0.0,2.3899998664855957,40.34000015258789,18.309999465942383,12.25999927520752
IMG_0040_02-57-19_365369.jpg,40,0.0,0.0,2.3999998569488525,40.34000015258789,18.309999465942383,12.25999927520752
IMG_0041_02-57-19_685012.jpg,41,0.0,0.0,2.3999998569488525,40.34000015258789,18.309999465942383,12.269999504089355
IMG_0042_02-57-19_975429.jpg,42,0.0,0.0,2.3999998569488525,40.34000015258789,18.309999465942383,12.269999504089355
IMG_0043_02-57-20_260253.jpg,43,0.0,0.0,2.4099998474121094,40.32999801635742,18.309999465942383,12.279999732971191
IMG_0044_02-57-20_739945.jpg,44,0.0,0.0,2.440000057220459,40.34000015258789,18.309999465942383,12.289999961853027
IMG_0045_02-57-20_994875.jpg,45,0.0,0.0,2.419999837875366,40.32999801635742,18.309999465942383,12.289999961853027
IMG_0046_02-57-21_189943.jpg,46,0.0,0.0,2.429999828338623,40.34000015258789,18.309999465942383,12.300000190734863
IMG_0047_02-57-21_474794.jpg,47,0.0,0.0,2.419999837875366,40.34000015258789,18.309999465942383,12.300000190734863
IMG_0048_02-57-21_634997.jpg,48,0.0,0.0,2.419999837875366,40.34000015258789,18.309999465942383,12.300000190734863
IMG_0049_02-57-21_829744.jpg,49,0.0,0.0,2.419999837875366,40.34000015258789,18.309999465942383,12.309999465942383
IMG_0050_02-57-22_049757.jpg,50,0.0,0.0,2.419999837875366,40.34000015258789,18.309999465942383,12.309999465942383
IMG_0051_02-57-22_209876.jpg,51,0.0,0.0,2.419999837875366,40.349998474121094,18.309999465942383,12.319999694824219
IMG_0052_02-57-22_529844.jpg,52,0.0,0.0,2.419999837875366,40.349998474121094,18.31999969482422,12.319999694824219
IMG_0053_02-57-22_641524.jpg,53,0.0,0.0,2.419999837875366,40.349998474121094,18.31999969482422,12.319999694824219
IMG_0054_02-57-26_144463.jpg,54,0.0,0.0,2.450000047683716,40.349998474121094,18.31999969482422,12.389999389648438
IMG_0055_02-57-26_529336.jpg,55,0.0,0.0,2.429999828338623,40.349998474121094,18.31999969482422,12.389999389648438
IMG_0056_02-57-26_640660.jpg,56,0.0,0.0,2.450000047683716,40.349998474121094,18.31999969482422,12.389999389648438
IMG_0057_02-57-26_719299.jpg,57,0.0,0.0,2.440000057220459,40.349998474121094,18.31999969482422,12.389999389648438
IMG_0058_02-57-27_039085.jpg,58,0.0,0.0,2.419999837875366,40.349998474121094,18.31999969482422,12.389999389648438
IMG_0059_02-57-29_403638.jpg,59,0.0,0.0,2.419999837875366,40.36000061035156,18.309999465942383,12.4399995803833
IMG_0060_02-57-29_640209.jpg,60,0.0,0.0,2.440000057220459,40.36000061035156,18.309999465942383,12.4399995803833
IMG_0061_02-57-29_978627.jpg,61,0.0,0.0,2.429999828338623,40.349998474121094,18.309999465942383,12.449999809265137
IMG_0062_02-57-30_073973.jpg,62,0.0,0.0,2.419999837875366,40.349998474121094,18.309999465942383,12.449999809265137
IMG_0063_02-57-30_968461.jpg,63,0.0,0.0,2.440000057220459,40.36000061035156,18.309999465942383,12.469999313354492
IMG_0064_02-57-31_163434.jpg,64,0.0,0.0,2.429999828338623,40.36000061035156,18.309999465942383,12.469999313354492
IMG_0065_02-57-31_483505.jpg,65,0.0,0.0,2.4600000381469727,40.36000061035156,18.309999465942383,12.479999542236328
